sms,label
"Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
",1
"Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
",0
"Super da:)good replacement for murali
",0
"Sorry I missed your call let's talk when you have the time. I'm on 07090201529
",1
"Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app 
",1
"Sir, i am waiting for your call, once free please call me.
",0
"If u dun drive then how i go 2 sch.
",0
"Yup... How ü noe leh...
",0
"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.
",0
"Those were my exact intentions
",0
"I dun believe u. I thk u told him.
",0
"I'm fine. Hope you are also
",0
"And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
",0
"Lil fever:) now fine:)
",0
"Ok can...
",0
"Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
",1
"Its ok chikku, and its my 1 of favourite song..:-)
",0
"I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
",0
"So i asked how's anthony. Dad. And your bf
",0
"Yeah I should be able to, I'll text you when I'm ready to meet up
",0
"Yes we are chatting too.
",0
"Yeah no probs - last night is obviously catching up with you... Speak soon 
",0
"This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
",1
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...
",0
"I dunno until when... Lets go learn pilates...
",0
"Gudnite....tc...practice going on
",0
"Dhoni have luck to win some big title.so we will win:)
",0
"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...
",0
"Ok no prob. Take ur time.
",0
"I'll get there at 3, unless you guys want me to come some time sooner
",0
